GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
0500000US29031,29031,"Cape Girardeau County, Missouri",36.2,0.6,35.3,0.8,36.9,1.5
0500000US29037,29037,"Cass County, Missouri",39.6,0.6,37.1,0.8,42.2,1.8
0500000US29043,29043,"Christian County, Missouri",38.4,1.2,37.8,1.0,39.2,1.2
0500000US29047,29047,"Clay County, Missouri",37.3,0.5,36.8,0.7,37.8,0.7
0500000US29051,29051,"Cole County, Missouri",38.1,0.6,35.9,1.1,40.3,0.8
0500000US29071,29071,"Franklin County, Missouri",41.0,1.1,38.9,1.5,43.6,1.3
0500000US29077,29077,"Greene County, Missouri",36.3,0.4,34.8,0.6,38.3,0.6
0500000US29095,29095,"Jackson County, Missouri",36.7,0.3,35.5,0.2,38.1,0.4
0500000US29097,29097,"Jasper County, Missouri",35.7,0.6,35.0,1.7,35.8,0.7
0500000US29099,29099,"Jefferson County, Missouri",39.5,0.5,37.9,0.7,41.3,0.9
0500000US29165,29165,"Platte County, Missouri",38.1,1.0,37.4,1.2,38.9,1.4
0500000US29183,29183,"St. Charles County, Missouri",38.8,0.4,37.7,0.5,39.8,0.5
0500000US29187,29187,"St. Francois County, Missouri",39.8,1.4,37.7,2.0,42.9,2.1
0500000US29189,29189,"St. Louis County, Missouri",40.3,0.3,38.1,0.4,42.2,0.4
0500000US29510,29510,"St. Louis city, Missouri",35.6,0.2,35.0,0.3,36.3,0.6
0500000US30013,30013,"Cascade County, Montana",39.5,1.4,37.6,1.2,41.4,2.1
0500000US30029,30029,"Flathead County, Montana",42.7,1.2,42.2,1.7,43.1,1.2
0500000US30031,30031,"Gallatin County, Montana",33.4,0.5,33.1,1.0,34.1,1.0
0500000US30049,30049,"Lewis and Clark County, Montana",40.3,1.3,39.0,1.0,43.2,1.3
0500000US30063,30063,"Missoula County, Montana",35.6,0.5,35.5,0.7,35.7,0.5
0500000US30111,30111,"Yellowstone County, Montana",39.6,0.9,38.6,0.6,41.0,0.9
0500000US31055,31055,"Douglas County, Nebraska",34.7,0.1,33.9,0.3,35.5,0.1
0500000US31109,31109,"Lancaster County, Nebraska",33.7,0.3,32.5,0.4,34.7,0.3
0500000US31153,31153,"Sarpy County, Nebraska",34.5,0.4,33.0,0.5,35.6,0.6
0500000US32003,32003,"Clark County, Nevada",37.3,0.2,36.6,0.2,37.9,0.3
0500000US32031,32031,"Washoe County, Nevada",38.4,0.4,37.9,0.5,39.0,0.6
0500000US33005,33005,"Cheshire County, New Hampshire",42.8,0.8,42.0,1.1,44.1,1.2
0500000US33009,33009,"Grafton County, New Hampshire",43.4,1.4,42.3,1.7,44.7,1.2
0500000US33011,33011,"Hillsborough County, New Hampshire",40.8,0.4,39.5,0.6,42.2,0.6
0500000US33013,33013,"Merrimack County, New Hampshire",43.8,1.0,41.7,0.7,45.1,0.6
0500000US33015,33015,"Rockingham County, New Hampshire",44.6,0.3,43.2,0.6,45.8,0.5
0500000US33017,33017,"Strafford County, New Hampshire",36.4,0.6,35.4,0.7,37.8,1.8
0500000US34001,34001,"Atlantic County, New Jersey",42.0,0.5,40.6,0.7,42.9,0.3
0500000US34003,34003,"Bergen County, New Jersey",41.7,0.3,40.1,0.4,43.1,0.3
0500000US34005,34005,"Burlington County, New Jersey",41.4,0.4,39.1,0.5,43.8,0.3
0500000US34007,34007,"Camden County, New Jersey",38.6,0.3,36.8,0.5,40.2,0.6
0500000US34009,34009,"Cape May County, New Jersey",50.1,0.4,46.8,0.9,52.1,0.7
0500000US34011,34011,"Cumberland County, New Jersey",37.9,0.7,36.6,0.6,39.6,1.2
0500000US34013,34013,"Essex County, New Jersey",37.7,0.3,36.0,0.2,39.4,0.4
0500000US34015,34015,"Gloucester County, New Jersey",40.6,0.5,39.0,0.7,42.0,0.6
0500000US34017,34017,"Hudson County, New Jersey",35.2,0.1,34.5,0.2,36.1,0.2
0500000US34019,34019,"Hunterdon County, New Jersey",46.3,0.3,44.1,1.1,47.3,0.6
0500000US34021,34021,"Mercer County, New Jersey",38.4,0.5,36.6,0.3,40.4,0.6
0500000US34023,34023,"Middlesex County, New Jersey",38.4,0.3,37.4,0.4,39.4,0.4
0500000US34025,34025,"Monmouth County, New Jersey",43.2,0.3,41.9,0.4,44.7,0.2
0500000US34027,34027,"Morris County, New Jersey",42.2,0.4,41.0,0.4,43.7,0.3
0500000US34029,34029,"Ocean County, New Jersey",42.7,0.4,39.7,0.6,45.3,0.2
0500000US34031,34031,"Passaic County, New Jersey",36.9,0.3,35.6,0.2,38.1,0.5
0500000US34033,34033,"Salem County, New Jersey",42.1,1.0,41.5,1.8,42.5,1.1
0500000US34035,34035,"Somerset County, New Jersey",41.1,0.5,39.9,0.8,42.8,0.5
0500000US34037,34037,"Sussex County, New Jersey",44.8,0.7,43.4,0.9,46.1,0.6
0500000US34039,34039,"Union County, New Jersey",38.5,0.5,37.1,0.4,40.1,0.4
0500000US34041,34041,"Warren County, New Jersey",44.0,0.8,41.8,2.0,45.6,0.9
0500000US35001,35001,"Bernalillo County, New Mexico",37.8,0.3,36.8,0.4,39.1,0.6
0500000US35005,35005,"Chaves County, New Mexico",34.6,0.4,34.8,1.4,34.5,0.9
0500000US35013,35013,"Doña Ana County, New Mexico",33.3,0.5,32.4,0.7,34.6,0.4
0500000US35025,35025,"Lea County, New Mexico",31.6,0.7,30.5,0.3,33.8,1.8
0500000US35031,35031,"McKinley County, New Mexico",31.6,0.6,30.1,0.5,33.4,1.4
0500000US35035,35035,"Otero County, New Mexico",35.2,0.8,33.5,3.0,38.5,4.2
0500000US35043,35043,"Sandoval County, New Mexico",40.0,0.7,38.8,1.0,42.0,1.0
0500000US35045,35045,"San Juan County, New Mexico",35.6,0.3,34.7,0.9,36.4,0.4
0500000US35049,35049,"Santa Fe County, New Mexico",46.3,0.4,45.2,0.3,47.8,0.9
0500000US35061,35061,"Valencia County, New Mexico",39.2,1.2,37.0,1.2,40.4,0.8
0500000US36001,36001,"Albany County, New York",38.0,0.5,36.1,0.9,39.5,0.9
0500000US36005,36005,"Bronx County, New York",34.0,0.2,31.8,0.2,36.1,0.2
0500000US36007,36007,"Broome County, New York",39.6,0.6,37.4,0.8,42.1,1.1
0500000US36009,36009,"Cattaraugus County, New York",41.7,0.5,41.0,0.6,42.6,0.5
0500000US36011,36011,"Cayuga County, New York",42.6,1.0,40.8,1.5,44.9,0.7
0500000US36013,36013,"Chautauqua County, New York",42.6,0.6,40.7,0.7,43.9,0.6
0500000US36015,36015,"Chemung County, New York",41.4,1.1,39.1,2.6,43.7,0.6
0500000US36019,36019,"Clinton County, New York",39.3,1.0,38.7,1.2,40.7,1.7
0500000US36027,36027,"Dutchess County, New York",41.8,0.7,40.3,0.8,43.4,0.5
0500000US36029,36029,"Erie County, New York",40.3,0.3,38.2,0.5,42.2,0.4
0500000US36045,36045,"Jefferson County, New York",32.4,0.6,30.7,0.4,34.7,1.0
0500000US36047,36047,"Kings County, New York",35.2,0.1,33.6,0.2,36.7,0.2
0500000US36051,36051,"Livingston County, New York",41.2,1.3,39.4,1.8,43.0,1.5
0500000US36053,36053,"Madison County, New York",41.1,1.0,40.8,1.8,41.5,1.3
0500000US36055,36055,"Monroe County, New York",38.7,0.3,36.9,0.3,40.6,0.5
0500000US36059,36059,"Nassau County, New York",41.5,0.3,39.8,0.2,43.2,0.2
0500000US36061,36061,"New York County, New York",37.3,0.2,36.6,0.3,37.9,0.2
0500000US36063,36063,"Niagara County, New York",43.0,0.4,41.2,0.7,44.6,0.5
0500000US36065,36065,"Oneida County, New York",40.6,0.7,38.5,0.9,43.4,1.0
0500000US36067,36067,"Onondaga County, New York",39.0,0.4,37.8,0.4,40.3,0.4
0500000US36069,36069,"Ontario County, New York",44.0,1.2,41.7,1.9,45.7,0.9
0500000US36071,36071,"Orange County, New York",36.8,0.4,34.7,0.4,38.9,0.6
0500000US36075,36075,"Oswego County, New York",40.4,0.5,39.2,0.8,41.1,1.3
0500000US36079,36079,"Putnam County, New York",44.1,0.7,42.7,1.4,44.8,0.8
0500000US36081,36081,"Queens County, New York",38.7,0.2,37.3,0.2,39.9,0.2
0500000US36083,36083,"Rensselaer County, New York",39.7,0.8,38.8,1.0,41.2,1.3
0500000US36085,36085,"Richmond County, New York",40.4,0.3,38.5,0.5,41.6,0.3
0500000US36087,36087,"Rockland County, New York",36.0,0.3,34.2,0.5,37.7,0.5
0500000US36089,36089,"St. Lawrence County, New York",39.1,0.8,36.9,0.7,41.6,1.0
0500000US36091,36091,"Saratoga County, New York",43.0,0.6,42.0,1.0,43.8,0.4
0500000US36093,36093,"Schenectady County, New York",40.1,1.0,38.3,1.6,41.0,2.2
0500000US36101,36101,"Steuben County, New York",43.1,0.6,41.7,0.8,44.5,0.5
0500000US36103,36103,"Suffolk County, New York",41.1,0.3,39.6,0.3,43.0,0.3
0500000US36105,36105,"Sullivan County, New York",43.1,1.4,40.7,0.6,46.1,1.3
0500000US36109,36109,"Tompkins County, New York",31.0,0.6,29.4,0.5,34.2,1.2
0500000US36111,36111,"Ulster County, New York",44.2,0.7,43.1,0.7,45.5,0.7
0500000US36113,36113,"Warren County, New York",47.1,0.8,44.9,1.7,48.5,0.4
0500000US36117,36117,"Wayne County, New York",44.1,0.5,43.5,1.0,44.6,0.6
0500000US36119,36119,"Westchester County, New York",41.0,0.3,39.0,0.4,42.4,0.3
0500000US37001,37001,"Alamance County, North Carolina",39.0,0.9,38.5,1.1,39.9,1.8
0500000US37019,37019,"Brunswick County, North Carolina",53.4,0.4,51.3,1.0,55.2,0.7
0500000US37021,37021,"Buncombe County, North Carolina",42.8,0.7,41.4,0.9,44.2,0.6
0500000US37023,37023,"Burke County, North Carolina",44.1,1.0,40.1,2.2,45.7,1.2
0500000US37025,37025,"Cabarrus County, North Carolina",38.2,0.7,35.8,1.2,40.0,1.1
0500000US37027,37027,"Caldwell County, North Carolina",44.7,1.1,43.9,0.9,45.8,1.5
0500000US37031,37031,"Carteret County, North Carolina",48.5,0.6,46.4,1.0,50.4,0.8
0500000US37035,37035,"Catawba County, North Carolina",41.1,0.9,40.1,1.6,41.7,1.3
0500000US37037,37037,"Chatham County, North Carolina",46.1,1.3,43.7,2.8,48.5,2.3
0500000US37045,37045,"Cleveland County, North Carolina",41.9,0.8,41.5,1.3,42.2,0.7
0500000US37049,37049,"Craven County, North Carolina",37.3,1.4,34.5,1.9,39.8,1.4
0500000US37051,37051,"Cumberland County, North Carolina",31.3,0.2,28.6,0.3,34.5,0.3
0500000US37057,37057,"Davidson County, North Carolina",42.8,0.7,40.9,1.3,44.0,1.0
0500000US37063,37063,"Durham County, North Carolina",35.5,0.2,34.5,0.3,36.9,0.5
0500000US37067,37067,"Forsyth County, North Carolina",38.4,0.4,37.1,0.4,39.8,0.5
0500000US37069,37069,"Franklin County, North Carolina",42.4,1.4,42.9,3.3,42.1,1.4
0500000US37071,37071,"Gaston County, North Carolina",40.1,0.5,38.1,0.8,41.0,1.0
0500000US37081,37081,"Guilford County, North Carolina",37.6,0.3,36.2,0.3,38.7,0.4
0500000US37085,37085,"Harnett County, North Carolina",34.5,0.3,33.9,0.6,35.1,0.3
0500000US37089,37089,"Henderson County, North Carolina",47.3,0.6,45.4,1.2,48.6,1.0
0500000US37097,37097,"Iredell County, North Carolina",40.2,0.6,38.8,0.8,41.7,1.1
0500000US37101,37101,"Johnston County, North Carolina",38.7,0.8,38.3,1.1,39.2,1.3
0500000US37109,37109,"Lincoln County, North Carolina",43.5,0.6,42.5,1.4,44.1,1.1
0500000US37119,37119,"Mecklenburg County, North Carolina",35.1,0.1,34.1,0.2,36.1,0.2
0500000US37125,37125,"Moore County, North Carolina",42.9,1.2,40.9,2.6,45.3,2.1
0500000US37127,37127,"Nash County, North Carolina",41.3,1.5,37.1,2.1,43.2,0.6
0500000US37129,37129,"New Hanover County, North Carolina",39.0,0.6,37.8,0.7,39.8,0.7
0500000US37133,37133,"Onslow County, North Carolina",26.7,0.4,24.4,0.4,30.2,1.0
0500000US37135,37135,"Orange County, North Carolina",34.8,0.8,34.2,1.3,35.0,0.9
0500000US37147,37147,"Pitt County, North Carolina",31.9,0.8,30.2,0.5,34.1,0.6
0500000US37151,37151,"Randolph County, North Carolina",41.9,0.8,41.1,1.1,42.8,1.1
0500000US37155,37155,"Robeson County, North Carolina",36.6,0.3,35.0,0.4,38.4,0.8
0500000US37157,37157,"Rockingham County, North Carolina",44.4,0.5,43.3,1.7,45.1,0.7
0500000US37159,37159,"Rowan County, North Carolina",41.0,1.2,40.1,1.6,41.9,1.4
0500000US37161,37161,"Rutherford County, North Carolina",45.2,0.8,43.0,1.7,46.4,1.6
0500000US37171,37171,"Surry County, North Carolina",43.8,0.6,42.4,1.2,45.3,1.2
